mass shift,mass error (Da),PTM pattern,amount of PTMs
120.69492964999517,1.5526296499951684,1[Cys],1
120.69492964999517,0.7179296499951775,1[Ph-OH]1[Na],2
120.69492964999517,1.364670350004829,1[Ph]1[Me3],2
136.20497318716662,1.063273187166601,1[Cys]1[Ox],2
136.20497318716662,0.11867318716661403,1[Ph]2[Me2],3
136.20497318716662,0.11877318716662444,1[Ph]1[Me3]1[Me1],3
180.27994817680155,0.14124817680152546,1[Ph]2[Me3]1[Ox],4
180.27994817680155,0.18424817680153183,1[Ph]1[Me3]1[Ac]1[Ox],4
180.27994817680155,1.1746481768015258,1[Cys]2[Na]1[Ox],4
200.69133815078385,1.5691381507838287,1[Cys]1[Ph],2
200.69133815078385,0.7344381507838591,1[Ph-OH]1[Ph]1[Na],3
200.69133815078385,1.3481618492161545,2[Ph]1[Me3],3
216.73731415027578,0.4001858497242097,1[Cys]1[Ph-OH],2
216.73731415027578,1.2348858497242077,2[Ph-OH]1[Na],3
216.73731415027578,0.5480858497242309,1[Cys]1[Ac]2[Me2],4
259.31243214215647,0.09523214215644771,1[Cys]1[Ph-OH]1[Me3],3
259.31243214215647,0.13823214215643886,1[Cys]1[Ph-OH]1[Ac],3
259.31243214215647,0.9539678578435655,2[Cys]1[Na],3
297.8288345975452,0.7114345975452352,1[Cys]1[Ph-OH]1[Ph],3
297.8288345975452,0.1232654024547628,2[Ph-OH]1[Ph]1[Na],4
297.8288345975452,1.465134597545216,2[Cys]1[Me3]1[Ox],4
309.9418670353698,0.043132964630160586,3[Ph-OH]1[Ox],4
309.9418670353698,1.2021329646301524,1[Cys]1[Ph-OH]1[Ph]1[Me1],4
309.9418670353698,1.524367035369778,2[Cys]1[Me3]1[Me2],4
357.41470891172503,0.012191088275017137,3[Cys],3
357.41470891172503,0.2023089117250123,1[Cys]2[Ph-OH]1[Me3],4
357.41470891172503,0.8468910882750151,2[Cys]1[Ph-OH]1[Na],4
377.27634137791756,0.17904137791755678,1[Cys]1[Ph-OH]2[Ph],4
377.27634137791756,1.0401586220824584,2[Cys]1[Ph-OH]1[Ac],4
377.27634137791756,1.0831586220824647,2[Cys]1[Ph-OH]1[Me3],4
394.5520562055026,0.5605437944973914,1[Cys]2[Ph-OH]1[Ph],4
394.5520562055026,0.19315620550258927,2[Cys]1[Ph-OH]1[Me3]1[Ox],5
394.5520562055026,1.1167562055025542,3[Cys]1[Na]1[Me1],5
435.6873235175008,1.4123235175007949,2[Cys]2[Ph-OH],4
435.6873235175008,0.24277648249926642,2[Ph-OH]3[Ph],5
435.6873235175008,1.4619764824992103,1[Cys]2[Ph-OH]1[Ph]1[Ac],5
454.35564740544214,1.0664525945579157,3[Cys]1[Ph-OH],4
454.35564740544214,0.41024740544219185,3[Ph-OH]2[Ph],5
454.35564740544214,0.8089525945578089,1[Cys]3[Ph-OH]1[Ac],5
468.62471907975123,0.8239809202488004,3[Cys]1[Ph-OH]1[Me1],5
468.62471907975123,0.24741907975124292,2[Cys]2[Ph]1[Me3]1[Me2],6
468.62471907975123,0.7808809202488192,3[Cys]1[Ph]2[Ox],6
473.05273832071543,1.09203832071546,4[Ph-OH]1[Ph],5
473.05273832071543,0.02386167928455052,1[Cys]1[Ph-OH]3[Ph]1[Ox],6
473.05273832071543,1.2860616792845576,2[Cys]1[Ph-OH]1[Ph]1[Me3]1[Ox],6
477.0619518690364,0.4927518690363968,4[Cys],4
477.0619518690364,0.34194813096365806,3[Cys]1[Ph-OH]1[Na],5
477.0619518690364,0.7072518690364609,2[Cys]2[Ph-OH]1[Me3],5
493.8714853036581,0.7636853036581357,1[Cys]3[Ph-OH]1[Ph],5
493.8714853036581,1.3028853036581154,4[Cys]1[Ox],5
493.8714853036581,0.3583853036581104,3[Cys]1[Ph]1[Me3]1[Me1],6
516.7372994506586,0.6494005493414079,3[Cys]2[Ph],5
516.7372994506586,0.3919005493413579,1[Cys]2[Ph-OH]2[Ph]1[Ac],6
516.7372994506586,1.2919005493413351,5[Ph-OH]1[Me2],6
534.8519312560893,0.5500687439107423,3[Cys]1[Ph-OH]1[Ph],5
534.8519312560893,0.20363125608923838,4[Cys]1[Me3]1[Ox],6
534.8519312560893,0.24663125608924474,4[Cys]1[Ac]1[Ox],6
553.1583391202294,0.25896087977071147,3[Cys]2[Ph-OH],5
553.1583391202294,0.0014608797706614496,1[Cys]4[Ph-OH]1[Ac],6
553.1583391202294,1.2177391202293393,4[Ph-OH]2[Ph],6
569.5229866468799,0.10628664687988021,3[Cys]2[Ph-OH]1[Ox],6
569.5229866468799,0.43291335312017054,5[Ph-OH]1[Ph],6
569.5229866468799,1.0527133531202253,4[Cys]1[Ph]1[Me1],6
610.4378709078446,0.6997709078445453,5[Cys]1[Me1],6
610.4378709078446,1.2730290921554115,5[Cys]1[Ox],6
610.4378709078446,1.3195709078446254,1[Cys]5[Ph-OH],6
613.78593189596,1.5358318959599728,2[Cys]3[Ph-OH]1[Ph],6
613.78593189596,0.11926810403997479,3[Ph-OH]4[Ph],7
613.78593189596,1.130531895959848,4[Cys]1[Ph]1[Me3]1[Me1],7
633.7253740092929,0.3281740092927521,3[Cys]2[Ph-OH]1[Ph],6
633.7253740092929,0.03267400929280484,5[Cys]1[Na]1[Ox],7
633.7253740092929,0.5065259907071322,2[Cys]3[Ph-OH]1[Ph]1[Na],7
652.4669446736298,1.054444673629746,3[Cys]3[Ph-OH],6
652.4669446736298,0.06145532637026463,4[Cys]2[Ph]1[Ox],7
652.4669446736298,1.3236553263702717,5[Cys]1[Me3]1[Ox],7
692.5607453457342,1.145954654265779,5[Cys]1[Ph-OH],6
692.5607453457342,0.3307453457341768,2[Cys]3[Ph-OH]2[Ph],7
692.5607453457342,0.8884546542658427,3[Cys]3[Ph-OH]1[Ac],7
711.7797558505408,1.5344558505407804,2[Cys]4[Ph-OH]1[Ph],7
711.7797558505408,0.07995585054084131,5[Cys]1[Ph]1[Na]1[Me1],8
711.7797558505408,0.41855585054065614,3[Cys]1[Ph-OH]3[Ph]1[Ox],8
731.7517652092793,0.3593652092791899,3[Cys]3[Ph-OH]1[Ph],7
731.7517652092793,0.0029347907207011303,5[Cys]1[Ph]1[Ac]1[Me1],8
731.7517652092793,0.045934790720821184,5[Cys]1[Ph]1[Me3]1[Me1],8
792.8877598367253,1.1858598367252853,5[Cys]2[Ph-OH],7
792.8877598367253,0.3511598367252873,4[Cys]3[Ph-OH]1[Na],8
792.8877598367253,0.469240163274776,3[Cys]2[Ph-OH]3[Ph],8
812.5173734437558,0.07412655624432318,4[Cys]3[Ph-OH]1[Ac],8
812.5173734437558,0.11712655624421586,4[Cys]3[Ph-OH]1[Me3],8
812.5173734437558,1.145073443755765,3[Cys]3[Ph-OH]2[Ph],8
